filename,filesize,encoding,header
weights_20-0.80-0.84-0.13-0.95_1.hdf5,90000000,,
weights_20-0.80-0.84-0.13-0.95_2.hdf5,90000000,,
weights_20-0.80-0.84-0.13-0.95_3.hdf5,90000000,,
weights_20-0.80-0.84-0.13-0.95_4.hdf5,90000000,,
weights_20-0.80-0.84-0.13-0.95_5.hdf5,43958464,,
